id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
816,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:24"
817,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:26"
818,6,6,0,0,6,0,0,0,0,0,1,0,wbp,"2023-11-24 16:59:28"
819,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:29"
820,4,3,5,4,5,4,3,4,5,4,6,4,wbp,"2023-11-24 16:59:33"
821,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 16:59:34"
822,5,5,6,3,4,4,6,4,6,5,6,4,wbp,"2023-11-24 16:59:38"
823,5,2,5,5,6,3,2,3,6,6,6,4,wbp,"2023-11-24 16:59:43"
824,0,0,6,0,0,0,0,0,0,0,0,6,wbp,"2023-11-24 16:59:45"
825,6,0,6,5,0,0,0,0,5,0,5,5,wbp,"2023-11-24 16:59:48"
826,0,0,5,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:48"
827,0,0,0,0,0,0,0,0,0,0,0,6,wbp,"2023-11-24 16:59:50"
828,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 16:59:52"
829,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:00:00"
830,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:00:04"
831,3,3,6,4,3,5,4,2,2,2,5,6,wbp,"2023-11-24 17:00:05"
832,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:00:10"
833,0,0,6,0,0,0,0,0,0,0,0,5,wbp,"2023-11-24 17:00:27"
834,3,2,6,5,4,3,5,1,5,2,5,5,wbp,"2023-11-24 17:00:37"
835,0,6,1,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:00:40"
836,6,4,6,6,4,6,3,6,1,3,3,6,wbp,"2023-11-24 17:00:50"
837,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:00:59"
838,4,0,0,0,0,0,0,0,5,0,0,0,wbp,"2023-11-24 17:01:10"
839,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:01:12"
840,6,0,6,6,6,5,0,0,0,0,6,0,wbp,"2023-11-24 17:01:15"
841,0,0,4,0,0,6,0,0,0,0,0,0,wbp,"2023-11-24 17:01:16"
842,0,0,0,0,0,6,0,0,0,0,0,0,wbp,"2023-11-24 17:01:22"
843,0,0,6,5,5,0,6,0,0,0,5,4,wbp,"2023-11-24 17:01:27"
844,0,0,0,0,0,0,0,0,0,0,0,6,wbp,"2023-11-24 17:01:35"
845,5,0,0,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:01:42"
846,4,4,6,1,5,5,3,6,2,0,1,6,wbp,"2023-11-24 17:01:47"
847,0,0,0,6,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:01:53"
848,0,0,0,0,0,0,0,0,0,0,0,6,wbp,"2023-11-24 17:01:59"
849,0,0,0,6,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:04"
850,5,1,6,4,5,2,5,0,1,3,6,0,wbp,"2023-11-24 17:02:05"
851,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:08"
852,3,1,5,4,5,3,6,3,3,2,5,6,wbp,"2023-11-24 17:02:11"
853,4,4,4,6,5,4,0,3,3,0,0,3,wbp,"2023-11-24 17:02:15"
854,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:02:18"
855,5,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:19"
856,5,1,6,4,5,2,5,0,1,3,6,0,wbp,"2023-11-24 17:02:20"
857,0,0,0,0,4,0,5,0,6,0,0,0,wbp,"2023-11-24 17:02:24"
858,5,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:27"
859,0,0,6,0,0,0,0,0,0,0,0,5,wbp,"2023-11-24 17:02:30"
860,5,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:34"
861,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:38"
862,5,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:40"
863,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:02:44"
864,0,0,0,0,0,0,0,0,6,0,0,0,wbp,"2023-11-24 17:02:51"
865,6,0,0,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:02:56"
866,5,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:03:05"
867,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:04:22"
869,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 17:05:17"
870,6,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 17:05:28"
874,4,3,5,4,5,4,3,4,5,4,6,4,wbp,"2023-11-24 17:55:44"
875,1,5,5,4,6,1,,,,,,,wb3,"2023-11-24 18:12:43"
878,6,0,0,0,0,0,,,,,,,wb3,"2023-11-24 18:32:07"
879,0,0,0,0,0,5,,,,,,,wb3,"2023-11-24 19:12:15"
880,4,3,4,2,4,6,,,,,,,wb3,"2023-11-24 19:14:03"
881,1,2,3,2,4,6,,,,,,,wb3,"2023-11-24 19:15:05"
882,1,1,1,1,6,6,,,,,,,wb3,"2023-11-24 19:15:15"
883,2,6,3,2,3,2,,,,,,,wb3,"2023-11-24 19:17:41"
887,3,5,6,6,,,,,,,,,wb5,"2023-11-24 19:27:40"
888,4,5,4,5,,,,,,,,,wb5,"2023-11-24 19:27:43"
889,5,6,6,6,,,,,,,,,wb5,"2023-11-24 19:27:46"
890,4,3,5,4,,,,,,,,,wb5,"2023-11-24 19:27:47"
891,4,4,5,3,,,,,,,,,wb5,"2023-11-24 19:27:47"
892,4,2,4,1,,,,,,,,,wb5,"2023-11-24 19:27:50"
893,4,6,4,4,,,,,,,,,wb5,"2023-11-24 19:27:56"
894,6,5,5,5,,,,,,,,,wb5,"2023-11-24 19:28:01"
895,2,6,4,6,,,,,,,,,wb5,"2023-11-24 19:28:03"
896,6,5,6,4,,,,,,,,,wb5,"2023-11-24 19:28:04"
897,5,1,6,2,,,,,,,,,wb5,"2023-11-24 19:28:10"
898,4,2,6,3,,,,,,,,,wb5,"2023-11-24 19:28:26"
899,4,3,2,5,,,,,,,,,wb5,"2023-11-24 19:28:27"
900,6,3,5,4,,,,,,,,,wb5,"2023-11-24 19:28:28"
901,6,4,4,4,,,,,,,,,wb5,"2023-11-24 19:28:33"
902,5,5,2,2,,,,,,,,,wb5,"2023-11-24 19:28:34"
903,5,6,6,5,,,,,,,,,wb5,"2023-11-24 19:28:34"
904,6,6,4,5,,,,,,,,,wb5,"2023-11-24 19:28:36"
905,3,5,2,5,,,,,,,,,wb5,"2023-11-24 19:28:37"
906,6,4,6,4,,,,,,,,,wb5,"2023-11-24 19:28:39"
907,4,4,5,6,,,,,,,,,wb5,"2023-11-24 19:28:47"
908,6,3,6,3,,,,,,,,,wb5,"2023-11-24 19:28:47"
909,4,3,2,3,,,,,,,,,wb5,"2023-11-24 19:28:47"
910,4,2,4,6,,,,,,,,,wb5,"2023-11-24 19:28:49"
911,5,2,5,2,,,,,,,,,wb5,"2023-11-24 19:28:53"
912,3,1,5,6,,,,,,,,,wb5,"2023-11-24 19:28:55"
913,6,4,5,6,,,,,,,,,wb5,"2023-11-24 19:28:57"
914,5,2,5,6,,,,,,,,,wb5,"2023-11-24 19:28:59"
915,5,4,5,5,,,,,,,,,wb5,"2023-11-24 19:29:03"
916,4,5,4,2,,,,,,,,,wb5,"2023-11-24 19:29:18"
917,4,3,4,6,,,,,,,,,wb5,"2023-11-24 19:29:24"
918,5,4,3,6,,,,,,,,,wb5,"2023-11-24 19:29:25"
919,5,2,2,5,,,,,,,,,wb5,"2023-11-24 19:29:31"
920,6,0,6,0,,,,,,,,,wb5,"2023-11-24 19:29:44"
921,2,4,4,6,,,,,,,,,wb5,"2023-11-24 19:30:04"
923,4,3,5,2,,,,,,,,,wb5,"2023-11-24 19:30:51"
924,3,5,4,3,,,,,,,,,wb5,"2023-11-24 19:30:56"
925,3,3,4,4,,,,,,,,,wb5,"2023-11-24 19:31:58"
929,2,3,6,1,6,1,,,,,,,wb3,"2023-11-24 19:49:55"
930,6,1,1,0,3,1,,,,,,,wb3,"2023-11-24 19:53:13"
931,6,6,6,6,6,6,,,,,,,wb3,"2023-11-24 19:55:03"
932,5,3,3,2,6,2,,,,,,,wb3,"2023-11-24 19:55:56"
933,6,3,4,2,4,5,,,,,,,wb3,"2023-11-24 19:56:32"
934,6,6,6,6,6,6,,,,,,,wb3,"2023-11-24 19:57:25"
937,6,1,1,0,6,1,,,,,,,wb3,"2023-11-24 19:58:53"
938,6,5,5,6,6,5,,,,,,,wb3,"2023-11-24 19:59:05"
939,3,6,3,2,3,1,,,,,,,wb3,"2023-11-24 20:00:24"
942,1,1,1,1,6,1,,,,,,,wb3,"2023-11-24 20:03:20"
943,4,3,2,1,6,2,,,,,,,wb3,"2023-11-24 20:04:13"
944,4,3,3,1,6,1,,,,,,,wb3,"2023-11-24 20:04:16"
948,1,1,1,1,6,1,,,,,,,wb3,"2023-11-24 20:07:04"
950,3,5,5,4,,,,,,,,,wb5,"2023-11-24 20:17:16"
951,5,3,3,2,6,2,,,,,,,wb3,"2023-11-24 20:23:36"
952,6,5,5,6,6,4,,,,,,,wb3,"2023-11-24 20:23:37"
953,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 20:46:14"
954,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 20:48:16"
955,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 20:50:39"
956,0,0,0,0,5,0,,,,,,,wb4,"2023-11-24 21:10:34"
957,3,3,2,2,6,3,,,,,,,wb4,"2023-11-24 21:18:18"
958,6,4,2,3,6,6,,,,,,,wb4,"2023-11-24 21:19:03"
959,5,5,6,3,4,4,,,,,,,wb4,"2023-11-24 21:19:09"
960,6,5,5,6,6,5,,,,,,,wb3,"2023-11-24 21:20:48"
961,4,3,5,4,,,,,,,,,wb5,"2023-11-24 21:21:07"
962,5,3,6,3,6,6,,,,,,,wb3,"2023-11-24 21:21:30"
963,1,6,5,6,2,4,,,,,,,wb6,"2023-11-24 21:21:34"
964,3,4,5,5,4,3,,,,,,,wb6,"2023-11-24 21:21:39"
965,1,6,1,4,5,5,,,,,,,wb6,"2023-11-24 21:21:42"
966,4,5,2,5,5,2,,,,,,,wb6,"2023-11-24 21:21:42"
967,3,5,2,6,4,3,,,,,,,wb6,"2023-11-24 21:21:43"
968,3,5,2,2,6,4,,,,,,,wb6,"2023-11-24 21:21:47"
969,5,5,3,4,6,5,,,,,,,wb6,"2023-11-24 21:21:52"
970,1,4,5,3,5,1,,,,,,,wb6,"2023-11-24 21:21:54"
971,2,4,5,4,5,6,,,,,,,wb6,"2023-11-24 21:21:55"
972,5,6,6,5,5,5,,,,,,,wb6,"2023-11-24 21:22:00"
973,5,4,2,5,6,5,,,,,,,wb6,"2023-11-24 21:22:01"
974,5,5,3,3,4,3,,,,,,,wb6,"2023-11-24 21:22:06"
975,2,4,1,4,3,5,,,,,,,wb6,"2023-11-24 21:22:08"
976,5,3,6,6,5,6,,,,,,,wb6,"2023-11-24 21:22:11"
977,4,5,6,4,3,1,,,,,,,wb6,"2023-11-24 21:22:12"
978,3,6,2,5,4,1,,,,,,,wb6,"2023-11-24 21:22:14"
979,4,6,6,2,5,5,,,,,,,wb6,"2023-11-24 21:22:15"
980,1,6,3,5,2,3,,,,,,,wb6,"2023-11-24 21:22:19"
981,5,6,3,4,4,5,,,,,,,wb6,"2023-11-24 21:22:20"
982,3,6,6,5,3,4,,,,,,,wb6,"2023-11-24 21:22:21"
983,3,6,4,4,5,5,,,,,,,wb6,"2023-11-24 21:22:26"
984,4,5,4,5,3,5,,,,,,,wb6,"2023-11-24 21:22:28"
985,3,5,4,5,5,5,,,,,,,wb6,"2023-11-24 21:22:32"
986,3,5,5,3,6,5,,,,,,,wb6,"2023-11-24 21:22:37"
987,2,3,3,6,6,4,,,,,,,wb6,"2023-11-24 21:22:40"
988,1,4,3,6,2,2,,,,,,,wb6,"2023-11-24 21:22:40"
989,2,4,1,4,5,6,,,,,,,wb4,"2023-11-24 21:22:42"
990,4,6,6,2,5,5,,,,,,,wb6,"2023-11-24 21:22:46"
991,2,4,2,4,5,4,,,,,,,wb6,"2023-11-24 21:22:46"
992,5,6,5,3,2,3,,,,,,,wb6,"2023-11-24 21:22:50"
993,1,2,2,0,0,2,,,,,,,wb6,"2023-11-24 21:22:55"
994,2,4,4,4,5,5,,,,,,,wb6,"2023-11-24 21:23:00"
995,6,6,4,5,5,4,,,,,,,wb6,"2023-11-24 21:23:02"
996,2,5,6,5,3,6,,,,,,,wb6,"2023-11-24 21:23:02"
997,2,3,5,5,5,5,,,,,,,wb6,"2023-11-24 21:23:03"
998,4,6,6,3,5,6,,,,,,,wb6,"2023-11-24 21:23:05"
999,4,4,6,6,4,6,,,,,,,wb6,"2023-11-24 21:23:06"
1000,3,6,6,6,4,4,,,,,,,wb6,"2023-11-24 21:23:08"
1001,2,1,4,6,3,1,,,,,,,wb6,"2023-11-24 21:23:15"
1002,3,5,4,3,3,3,,,,,,,wb6,"2023-11-24 21:23:18"
1003,2,1,4,6,3,1,,,,,,,wb6,"2023-11-24 21:23:20"
1004,4,5,3,6,4,4,,,,,,,wb6,"2023-11-24 21:23:20"
1005,6,5,6,1,2,3,,,,,,,wb6,"2023-11-24 21:23:22"
1006,4,5,4,4,6,2,,,,,,,wb6,"2023-11-24 21:23:26"
1007,4,5,6,3,2,6,,,,,,,wb6,"2023-11-24 21:23:31"
1008,2,4,6,3,2,4,,,,,,,wb6,"2023-11-24 21:23:49"
1009,2,4,4,4,4,4,,,,,,,wb6,"2023-11-24 21:23:56"
1010,5,6,5,3,2,3,,,,,,,wb6,"2023-11-24 21:24:32"
1011,6,4,4,3,5,6,,,,,,,wb4,"2023-11-24 21:24:51"
1012,3,4,5,1,6,2,,,,,,,wb6,"2023-11-24 21:25:16"
1013,4,5,3,5,6,5,,,,,,,wb6,"2023-11-24 21:25:17"
1014,0,4,6,3,2,3,,,,,,,wb6,"2023-11-24 21:25:59"
1015,2,6,6,3,5,4,,,,,,,wb6,"2023-11-24 21:26:14"
1016,4,6,5,6,5,4,,,,,,,wb6,"2023-11-24 21:26:42"
1017,3,6,4,3,5,3,,,,,,,wb6,"2023-11-24 21:26:49"
1018,0,4,5,3,3,4,,,,,,,wb6,"2023-11-24 21:27:08"
1019,4,4,3,4,2,4,,,,,,,wb6,"2023-11-24 21:27:10"
1020,6,6,6,6,6,6,,,,,,,wb6,"2023-11-24 21:27:13"
1021,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 21:27:48"
1022,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 21:38:12"
1023,5,3,4,3,6,5,,,,,,,wb4,"2023-11-24 21:50:52"
1024,5,3,4,2,6,6,,,,,,,wb4,"2023-11-24 21:51:07"
1025,6,3,6,1,6,4,,,,,,,wb4,"2023-11-24 21:52:03"
1026,4,6,2,6,6,5,,,,,,,wb4,"2023-11-24 21:52:21"
1027,4,4,2,4,6,5,,,,,,,wb4,"2023-11-24 21:52:22"
1028,4,3,2,4,6,6,,,,,,,wb4,"2023-11-24 21:52:30"
1029,4,5,4,4,5,6,,,,,,,wb4,"2023-11-24 21:52:52"
1030,5,5,4,6,6,1,,,,,,,wb4,"2023-11-24 21:53:13"
1031,5,3,4,3,6,6,,,,,,,wb4,"2023-11-24 21:57:38"
1032,5,5,6,3,4,4,,,,,,,wb4,"2023-11-24 22:05:39"
1033,3,4,4,6,3,5,,,,,,,wb6,"2023-11-24 22:07:44"
1034,4,3,5,6,,,,,,,,,wb5,"2023-11-24 22:10:22"
1035,5,5,1,5,6,2,,,,,,,wb4,"2023-11-24 22:17:45"
1036,2,6,4,2,4,6,,,,,,,wb6,"2023-11-24 22:19:00"
1037,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 22:30:11"
1038,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 22:35:28"
1039,1,6,3,5,2,3,,,,,,,wb6,"2023-11-24 22:45:28"
1040,4,4,4,3,2,5,,,,,,,wb2,"2023-11-24 22:45:29"
1041,0,0,0,0,6,0,0,0,0,0,0,0,wbp,"2023-11-24 23:13:03"
1042,2,4,4,6,,,,,,,,,wb5,"2023-11-24 23:16:22"
1043,3,6,6,6,,,,,,,,,wb5,"2023-11-24 23:17:00"
1044,4,4,4,5,,,,,,,,,wb5,"2023-11-24 23:17:01"
1045,4,6,4,5,,,,,,,,,wb5,"2023-11-24 23:17:16"
1046,3,1,2,6,,,,,,,,,wb5,"2023-11-24 23:18:19"
1047,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 23:18:26"
1048,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-24 23:19:11"
1049,1,2,3,2,1,1,1,,,,,,wbt,"2023-11-24 23:19:13"
1050,3,1,5,4,2,3,3,,,,,,wbt,"2023-11-24 23:19:38"
1051,4,1,4,6,3,1,1,,,,,,wbt,"2023-11-24 23:19:57"
1052,1,3,3,4,5,4,3,,,,,,wbt,"2023-11-24 23:22:56"
1053,4,3,5,3,2,2,1,,,,,,wbt,"2023-11-24 23:23:50"
1054,3,3,3,4,5,5,4,,,,,,wbt,"2023-11-24 23:24:05"
1055,3,3,4,5,4,2,5,,,,,,wbt,"2023-11-24 23:25:22"
1056,4,5,4,4,6,3,,,,,,,wb4,"2023-11-24 23:31:30"
1057,0,0,0,6,0,0,,,,,,,wb4,"2023-11-24 23:39:18"
1058,5,4,6,6,2,3,,,,,,,wb6,"2023-11-24 23:40:31"
1059,3,6,2,5,4,3,,,,,,,wb6,"2023-11-24 23:48:50"
1060,5,3,3,1,6,3,,,,,,,wb3,"2023-11-24 23:50:21"
1061,2,3,3,1,6,5,,,,,,,wb3,"2023-11-24 23:50:31"
1062,0,0,0,0,6,0,,,,,,,wb4,"2023-11-24 23:55:18"
1063,5,5,4,5,5,6,6,,,,,,wbt,"2023-11-24 23:59:53"
1064,6,1,2,4,6,6,,,,,,,wb6,"2023-11-25 00:01:09"
1065,4,5,4,4,5,6,,,,,,,wb6,"2023-11-25 00:01:45"
1066,1,6,3,6,6,2,6,,,,,,wbt,"2023-11-25 00:02:48"
1068,3,3,4,6,6,4,,,,,,,wb4,"2023-11-25 00:20:50"
1069,4,6,6,2,5,5,,,,,,,wb6,"2023-11-25 00:34:31"
1070,1,1,1,1,6,1,,,,,,,wb4,"2023-11-25 00:38:14"
1071,3,3,4,6,3,3,,,,,,,wb2,"2023-11-25 01:01:05"
1072,2,3,3,1,6,5,,,,,,,wb3,"2023-11-25 01:04:29"
1073,4,4,4,5,,,,,,,,,wb5,"2023-11-25 01:14:45"
1074,4,4,4,1,6,5,,,,,,,wb3,"2023-11-25 01:21:04"
1075,2,3,3,1,6,5,,,,,,,wb3,"2023-11-25 01:36:11"
1077,6,4,5,6,,,,,,,,,wb5,"2023-11-25 06:25:07"
1078,5,3,6,6,5,6,,,,,,,wb6,"2023-11-25 07:39:58"
1082,6,3,3,4,3,6,,,,,,,wb3,"2023-11-25 09:02:56"
1083,4,5,4,4,6,2,,,,,,,wb6,"2023-11-25 09:10:49"
1085,6,6,4,5,5,4,,,,,,,wb6,"2023-11-25 09:15:26"
1087,5,3,3,2,6,2,,,,,,,wb3,"2023-11-25 09:25:03"
1088,4,4,4,5,,,,,,,,,wb5,"2023-11-25 09:36:44"
1090,5,1,4,4,,,,,,,,,wb5,"2023-11-25 09:45:49"
1091,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-25 10:03:12"
1094,2,3,3,6,6,4,,,,,,,wb6,"2023-11-25 10:21:17"
1096,4,6,6,3,5,6,,,,,,,wb6,"2023-11-25 11:00:12"
1100,3,3,2,2,,,,,,,,,wb5,"2023-11-25 12:32:47"
1103,1,6,5,6,2,4,,,,,,,wb6,"2023-11-25 13:39:25"
1106,6,6,4,5,5,4,,,,,,,wb6,"2023-11-25 14:19:51"
1108,4,6,2,6,6,5,,,,,,,wb4,"2023-11-25 15:57:46"
1109,1,4,5,3,5,1,,,,,,,wb6,"2023-11-25 16:26:18"
1110,4,5,4,5,3,4,,,,,,,wb2,"2023-11-25 17:54:29"
1111,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 18:48:03"
1112,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-25 18:53:32"
1113,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-25 18:53:48"
1114,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-25 18:53:53"
1115,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-25 18:54:10"
1116,2,4,2,6,2,4,,,,,,,wb6,"2023-11-25 18:56:26"
1117,6,5,4,4,6,5,,,,,,,wb6,"2023-11-25 19:07:07"
1118,6,5,5,4,1,1,,,,,,,wb6,"2023-11-25 19:09:38"
1119,4,2,6,5,5,4,,,,,,,wb6,"2023-11-25 19:10:42"
1120,3,3,2,1,4,2,,,,,,,wb6,"2023-11-25 19:10:47"
1121,4,3,6,2,5,5,,,,,,,wb6,"2023-11-25 19:11:22"
1122,4,3,1,5,5,,,,,,,,wbd,"2023-11-25 19:14:24"
1123,5,6,4,4,4,,,,,,,,wbd,"2023-11-25 19:15:14"
1124,5,4,3,6,2,,,,,,,,wbd,"2023-11-25 19:15:21"
1125,6,6,2,4,3,,,,,,,,wbd,"2023-11-25 19:15:24"
1126,3,6,2,3,5,,,,,,,,wbd,"2023-11-25 19:15:24"
1127,3,4,6,3,4,,,,,,,,wbd,"2023-11-25 19:15:33"
1128,4,5,6,5,3,,,,,,,,wbd,"2023-11-25 19:15:36"
1129,3,5,6,3,4,,,,,,,,wbd,"2023-11-25 19:15:53"
1130,6,5,3,3,4,,,,,,,,wbd,"2023-11-25 19:16:14"
1131,4,6,6,6,5,,,,,,,,wbd,"2023-11-25 19:16:16"
1132,4,4,2,5,5,,,,,,,,wbd,"2023-11-25 19:16:25"
1133,6,6,6,5,6,,,,,,,,wbd,"2023-11-25 19:16:27"
1134,1,5,1,3,4,,,,,,,,wbd,"2023-11-25 19:16:29"
1135,4,4,2,3,2,,,,,,,,wbd,"2023-11-25 19:16:56"
1136,4,5,4,6,5,,,,,,,,wbd,"2023-11-25 19:17:03"
1137,6,4,3,3,4,,,,,,,,wbd,"2023-11-25 19:17:06"
1138,6,5,3,3,4,,,,,,,,wbd,"2023-11-25 19:17:19"
1139,4,5,3,2,5,,,,,,,,wbd,"2023-11-25 19:17:23"
1140,0,5,0,0,5,,,,,,,,wbd,"2023-11-25 19:18:25"
1141,6,3,1,4,5,,,,,,,,wbd,"2023-11-25 19:18:35"
1142,4,6,3,6,4,,,,,,,,wbd,"2023-11-25 19:18:42"
1143,4,6,4,3,3,,,,,,,,wbd,"2023-11-25 19:18:44"
1144,3,5,3,4,6,,,,,,,,wbd,"2023-11-25 19:18:58"
1145,4,4,5,6,5,,,,,,,,wbd,"2023-11-25 19:19:05"
1146,1,3,1,4,5,,,,,,,,wbd,"2023-11-25 19:19:08"
1147,6,5,2,3,4,,,,,,,,wbd,"2023-11-25 19:19:25"
1148,5,6,3,0,4,,,,,,,,wbd,"2023-11-25 19:19:52"
1149,3,6,6,5,4,2,,,,,,,wb6,"2023-11-25 19:39:25"
1150,5,4,6,5,6,5,,,,,,,wb6,"2023-11-25 19:39:45"
1151,4,6,5,5,6,5,,,,,,,wb6,"2023-11-25 19:39:45"
1152,5,4,6,5,6,4,,,,,,,wb6,"2023-11-25 19:40:11"
1153,0,5,6,0,1,0,,,,,,,wb6,"2023-11-25 19:40:21"
1154,6,5,4,4,6,5,,,,,,,wb6,"2023-11-25 19:57:18"
1155,3,5,6,3,4,,,,,,,,wbd,"2023-11-25 22:16:51"
1156,4,5,3,2,5,,,,,,,,wbd,"2023-11-25 22:31:29"
1157,4,5,3,6,4,4,,,,,,,wb6,"2023-11-25 23:25:31"
1158,4,3,2,5,,,,,,,,,wb5,"2023-11-26 00:51:30"
1159,6,6,4,5,5,4,,,,,,,wb6,"2023-11-26 05:54:36"
1160,0,0,0,0,6,4,,,,,,,wb4,"2023-11-26 11:23:09"
1161,5,4,2,5,6,5,,,,,,,wb6,"2023-11-26 12:22:32"
1162,0,0,0,0,0,0,,,,,,,wb4,"2023-11-26 17:14:04"
1163,1,6,1,4,5,5,,,,,,,wb6,"2023-11-26 18:01:46"
1164,2,5,6,5,3,6,,,,,,,wb6,"2023-11-26 18:21:17"
1165,4,5,6,3,2,6,,,,,,,wb6,"2023-11-26 19:03:01"
1166,5,4,3,3,5,6,,,,,,,wb3,"2023-11-26 19:49:22"
1167,4,5,6,5,3,,,,,,,,wbd,"2023-11-26 19:55:48"
1168,4,5,3,2,5,,,,,,,,wbd,"2023-11-26 21:24:03"
1169,2,1,3,6,6,5,6,,,,,,wbt,"2023-11-27 06:54:54"
1170,0,0,0,0,6,0,,,,,,,wb4,"2023-11-27 12:49:51"
1171,0,0,0,0,6,0,,,,,,,wb4,"2023-11-27 18:58:07"
1172,6,6,4,5,5,6,,,,,,,wb3,"2023-11-28 11:52:28"
1173,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-28 17:13:20"
1174,6,6,6,6,6,6,,,,,,,wb3,"2023-11-30 03:34:57"
1175,6,5,6,6,6,5,,,,,,,wb3,"2023-11-30 08:38:39"
1176,2,3,5,5,5,5,,,,,,,wb6,"2023-12-07 00:37:18"
1177,5,3,4,3,6,6,,,,,,,wb4,"2023-12-08 19:15:00"
1178,2,4,3,0,,,,,,,,,wb5,"2023-12-26 10:47:27"
1179,3,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:43:22"
1180,6,4,0,0,4,4,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:43:48"
1181,0,3,5,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:44:22"
1182,0,0,2,3,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:44:58"
1183,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:45:38"
1184,4,3,5,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-02-01 09:46:39"
1185,0,5,5,0,2,5,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-02-03 11:48:21"
1186,4,3,0,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-02-05 14:20:08"
1187,4,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-02-05 14:20:26"
1188,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-02-05 14:20:48"
1189,5,3,4,0,4,6,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-02-05 21:56:34"
1190,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-03-05 12:11:33"
1191,5,3,5,2,3,4,NULL,NULL,NULL,NULL,NULL,NULL,wb3,"2024-03-05 12:12:07"
1192,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-03-06 11:42:06"
1193,2,4,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-03-14 12:31:07"
1194,5,5,5,5,5,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 13:48:20"
