id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
482,4,6,4,5,3,5,,,,,,,wb2,"2023-11-23 19:24:20"
483,5,2,5,4,4,3,,,,,,,wb2,"2023-11-23 19:24:20"
484,3,4,4,4,5,5,,,,,,,wb2,"2023-11-23 19:24:22"
485,6,6,6,6,6,6,,,,,,,wb2,"2023-11-23 19:24:27"
486,4,4,4,3,2,5,,,,,,,wb2,"2023-11-23 19:25:03"
487,5,5,6,4,3,4,,,,,,,wb2,"2023-11-23 19:25:08"
488,4,4,3,4,3,6,,,,,,,wb2,"2023-11-23 19:25:14"
489,6,4,4,3,5,6,,,,,,,wb2,"2023-11-23 19:25:26"
490,6,1,6,3,5,5,,,,,,,wb2,"2023-11-23 19:25:40"
491,6,4,5,2,5,6,,,,,,,wb2,"2023-11-23 19:25:59"
492,5,1,1,1,1,6,,,,,,,wb2,"2023-11-23 19:26:21"
493,5,6,4,3,2,6,,,,,,,wb2,"2023-11-23 19:27:28"
494,5,6,5,6,6,4,,,,,,,wb2,"2023-11-23 19:29:02"
495,3,2,4,6,4,3,,,,,,,wb2,"2023-11-23 19:36:57"
496,5,5,5,4,5,6,,,,,,,wb2,"2023-11-23 20:08:14"
497,6,4,5,2,5,6,,,,,,,wb2,"2023-11-23 20:10:36"
498,6,6,6,6,6,6,,,,,,,wb2,"2023-11-23 20:22:27"
499,6,6,6,6,6,6,,,,,,,wb2,"2023-11-23 20:22:37"
500,6,6,6,6,6,6,,,,,,,wb2,"2023-11-23 20:22:43"
501,6,6,6,2,6,6,,,,,,,wb2,"2023-11-23 20:25:05"
502,6,6,6,3,6,3,,,,,,,wb2,"2023-11-23 20:28:27"
503,6,6,5,4,6,6,,,,,,,wb2,"2023-11-23 20:32:45"
504,4,5,5,6,4,5,5,,,,,,wbt,"2023-11-23 21:17:24"
505,4,4,5,4,4,4,5,,,,,,wbt,"2023-11-23 21:17:37"
506,1,1,1,6,1,1,,,,,,,wb2,"2023-11-23 21:18:26"
507,2,2,2,6,3,6,3,,,,,,wbt,"2023-11-23 21:21:37"
508,3,2,1,5,3,6,,,,,,,wb1,"2023-11-23 21:22:27"
509,6,6,3,6,5,3,,,,,,,wb2,"2023-11-23 21:22:50"
510,4,2,4,3,4,2,,,,,,,wb2,"2023-11-23 21:24:00"
511,3,2,2,6,4,3,,,,,,,wb2,"2023-11-23 21:27:40"
512,4,5,3,3,5,6,,,,,,,wb3,"2023-11-23 21:33:11"
513,5,1,6,4,1,6,,,,,,,wb3,"2023-11-23 21:33:15"
514,3,5,3,4,4,6,,,,,,,wb3,"2023-11-23 21:34:11"
515,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-23 21:35:21"
516,1,1,1,3,4,3,,,,,,,wb3,"2023-11-23 21:37:00"
517,4,3,3,1,6,3,,,,,,,wb3,"2023-11-23 21:37:07"
518,6,0,0,0,0,0,,,,,,,wb3,"2023-11-23 21:37:10"
519,3,3,6,4,5,6,,,,,,,wb3,"2023-11-23 21:37:16"
520,4,4,5,5,4,6,,,,,,,wb3,"2023-11-23 21:37:18"
521,2,2,4,3,4,6,,,,,,,wb3,"2023-11-23 21:37:19"
522,3,2,4,3,5,6,,,,,,,wb3,"2023-11-23 21:37:20"
523,1,1,3,1,2,5,,,,,,,wb3,"2023-11-23 21:37:24"
524,5,3,3,4,6,6,,,,,,,wb3,"2023-11-23 21:37:27"
525,4,1,3,2,1,6,,,,,,,wb3,"2023-11-23 21:37:30"
526,6,6,4,5,5,6,,,,,,,wb3,"2023-11-23 21:37:30"
527,4,2,4,2,6,4,,,,,,,wb3,"2023-11-23 21:37:31"
528,5,5,2,5,3,3,,,,,,,wb3,"2023-11-23 21:37:32"
529,6,4,3,5,5,5,,,,,,,wb3,"2023-11-23 21:37:33"
530,3,6,6,4,4,5,,,,,,,wb3,"2023-11-23 21:37:36"
531,5,4,1,1,6,1,,,,,,,wb3,"2023-11-23 21:37:39"
532,6,5,5,6,6,4,,,,,,,wb3,"2023-11-23 21:37:45"
533,1,1,1,2,3,2,,,,,,,wb3,"2023-11-23 21:37:46"
534,6,3,2,1,1,1,,,,,,,wb3,"2023-11-23 21:37:47"
535,5,4,5,4,5,6,,,,,,,wb3,"2023-11-23 21:37:48"
536,6,6,6,6,5,6,,,,,,,wb3,"2023-11-23 21:37:53"
537,6,3,4,5,5,6,,,,,,,wb3,"2023-11-23 21:37:53"
538,1,5,2,4,3,5,,,,,,,wb3,"2023-11-23 21:37:54"
539,1,1,1,1,6,1,,,,,,,wb3,"2023-11-23 21:37:59"
540,4,2,6,4,3,6,,,,,,,wb3,"2023-11-23 21:37:59"
541,6,3,3,5,6,4,,,,,,,wb3,"2023-11-23 21:38:05"
542,4,2,4,5,6,6,,,,,,,wb3,"2023-11-23 21:38:06"
543,5,4,3,6,6,4,,,,,,,wb3,"2023-11-23 21:38:09"
544,5,4,3,3,5,6,,,,,,,wb3,"2023-11-23 21:38:17"
545,4,1,3,1,3,6,,,,,,,wb3,"2023-11-23 21:38:22"
546,6,5,2,4,4,5,,,,,,,wb3,"2023-11-23 21:38:26"
547,6,4,3,4,5,4,,,,,,,wb3,"2023-11-23 21:38:27"
548,5,3,2,4,6,3,,,,,,,wb3,"2023-11-23 21:38:41"
549,5,3,3,3,6,3,,,,,,,wb3,"2023-11-23 21:38:44"
550,6,3,3,4,3,6,,,,,,,wb3,"2023-11-23 21:38:49"
551,3,2,3,1,5,6,,,,,,,wb3,"2023-11-23 21:38:54"
552,2,1,1,5,6,6,,,,,,,wb3,"2023-11-23 21:38:57"
553,4,6,2,3,3,2,,,,,,,wb3,"2023-11-23 21:39:16"
554,6,5,6,6,6,5,,,,,,,wb3,"2023-11-23 21:39:19"
555,2,6,4,6,5,6,,,,,,,wb3,"2023-11-23 21:39:20"
556,5,2,5,5,0,4,,,,,,,wb3,"2023-11-23 21:39:26"
557,5,2,3,4,5,6,,,,,,,wb3,"2023-11-23 21:39:34"
558,1,1,1,1,6,1,,,,,,,wb3,"2023-11-23 21:39:37"
559,6,0,0,0,2,2,,,,,,,wb3,"2023-11-23 21:39:40"
560,1,5,0,0,0,0,,,,,,,wb3,"2023-11-23 21:39:51"
561,6,6,1,3,6,6,,,,,,,wb3,"2023-11-23 21:39:54"
562,2,2,6,4,4,5,,,,,,,wb3,"2023-11-23 21:39:55"
563,6,0,0,5,6,0,,,,,,,wb3,"2023-11-23 21:40:03"
564,5,5,4,0,5,3,,,,,,,wb3,"2023-11-23 21:40:14"
565,6,4,4,4,3,5,,,,,,,wb3,"2023-11-23 21:40:23"
566,6,4,3,3,4,5,,,,,,,wb3,"2023-11-23 21:40:45"
567,6,0,0,4,0,1,,,,,,,wb3,"2023-11-23 21:41:05"
568,6,4,3,1,6,5,,,,,,,wb3,"2023-11-23 21:41:08"
569,5,4,6,5,5,6,,,,,,,wb3,"2023-11-23 21:41:15"
570,1,2,3,6,4,5,,,,,,,wb3,"2023-11-23 21:41:20"
571,5,2,4,4,1,5,,,,,,,wb3,"2023-11-23 21:42:08"
572,1,1,1,1,6,1,,,,,,,wb3,"2023-11-23 21:42:22"
573,6,3,6,2,6,6,,,,,,,wb3,"2023-11-23 21:42:42"
574,6,2,6,3,6,6,,,,,,,wb3,"2023-11-23 21:42:42"
575,0,5,4,5,6,4,,,,,,,wb3,"2023-11-23 21:43:12"
576,4,3,2,4,6,3,,,,,,,wb3,"2023-11-23 21:44:28"
577,3,5,3,1,6,4,,,,,,,wb3,"2023-11-23 21:48:12"
578,5,2,0,5,6,2,,,,,,,wb3,"2023-11-23 21:48:20"
579,1,4,4,2,6,5,,,,,,,wb3,"2023-11-23 21:49:41"
580,1,5,5,4,6,1,,,,,,,wb3,"2023-11-23 21:59:37"
581,5,5,5,5,4,3,,,,,,,wb1,"2023-11-23 22:03:05"
582,6,1,1,2,1,2,,,,,,,wb3,"2023-11-23 22:03:44"
583,6,1,1,2,1,1,,,,,,,wb3,"2023-11-23 22:04:36"
584,6,2,1,3,1,2,,,,,,,wb3,"2023-11-23 22:05:12"
585,6,4,1,5,1,1,,,,,,,wb3,"2023-11-23 22:05:33"
586,6,4,6,4,4,6,,,,,,,wb1,"2023-11-23 22:07:54"
587,6,4,1,4,4,4,,,,,,,wb3,"2023-11-23 22:10:47"
588,1,1,1,6,6,1,,,,,,,wb3,"2023-11-23 22:14:11"
589,6,4,2,3,3,5,,,,,,,wb3,"2023-11-23 22:16:51"
590,6,3,3,5,6,4,,,,,,,wb3,"2023-11-23 22:18:31"
591,6,3,4,5,6,4,,,,,,,wb3,"2023-11-23 22:22:56"
592,6,2,3,5,4,4,,,,,,,wb3,"2023-11-23 22:23:58"
593,6,4,2,3,3,5,,,,,,,wb3,"2023-11-23 22:48:12"
594,6,4,2,3,3,5,,,,,,,wb3,"2023-11-23 22:48:43"
595,3,5,3,3,4,6,,,,,,,wb3,"2023-11-23 23:00:30"
596,3,5,3,3,4,6,,,,,,,wb3,"2023-11-23 23:01:20"
597,4,5,3,3,5,6,,,,,,,wb3,"2023-11-23 23:12:24"
598,5,5,1,3,6,6,,,,,,,wb4,"2023-11-23 23:25:29"
599,2,3,4,3,5,6,,,,,,,wb4,"2023-11-23 23:25:30"
600,5,5,3,4,6,6,,,,,,,wb4,"2023-11-23 23:25:36"
601,6,4,3,3,6,5,,,,,,,wb4,"2023-11-23 23:25:38"
602,3,6,5,3,5,6,,,,,,,wb4,"2023-11-23 23:25:39"
603,4,0,2,5,6,0,,,,,,,wb4,"2023-11-23 23:25:50"
604,6,3,1,2,4,1,,,,,,,wb4,"2023-11-23 23:25:50"
